,scientific_name,park_name,observations,category,common_names,conservation_status
41,Camissonia sierrae ssp. alticola,Bryce National Park,84,Vascular Plant,"Mono Hot Springs Evening Primrose, Mono Hot Springs Evening-Primrose",Species Of Concern
42,Festuca idahoensis,Yellowstone National Park,239,Vascular Plant,Idaho Fescue,Not Listed
43,Doellingeria infirma,Yellowstone National Park,262,Vascular Plant,Cornel-Leaf Whitetop,Not Listed
44,Viola macloskeyi ssp. pallens,Great Smoky Mountains National Park,71,Vascular Plant,"Northern White Violet, Smooth White Violet",Not Listed
45,Cirsium arvense,Great Smoky Mountains National Park,85,Vascular Plant,"Crepping Thistle, Canada Thistle",Not Listed
46,Cirsium arvense,Great Smoky Mountains National Park,85,Vascular Plant,Canada Thistle,Not Listed
47,Elaeagnus umbellata,Yosemite National Park,176,Vascular Plant,Autumn Olive,Not Listed
48,Cornus alternifolia,Yosemite National Park,148,Vascular Plant,"Alternate-Leaf Dogwood, Alternate-Leaved Dogwood",Not Listed
49,Portulaca oleracea,Great Smoky Mountains National Park,76,Vascular Plant,Common Purslane,Not Listed
50,Portulaca oleracea,Great Smoky Mountains National Park,76,Vascular Plant,"Akulikuli-Kula, Common Purslane, Duckweed, Garden Purslane, Little Hogweed, Little-Hogweed, Purslane, Pursley, Wild Portulaca",Not Listed
51,Elaeagnus umbellata,Great Smoky Mountains National Park,85,Vascular Plant,Autumn Olive,Not Listed
52,Solidago missouriensis var. missouriensis,Bryce National Park,112,Vascular Plant,Missouri Goldenrod,Not Listed
53,Silene parryi,Great Smoky Mountains National Park,68,Vascular Plant,Parry's Silene,Not Listed
54,Itea virginica,Yellowstone National Park,235,Vascular Plant,"Sweet-Spire, Tasselwhite, Virginia Willow",Not Listed
55,Ammoselinum butleri,Yellowstone National Park,283,Vascular Plant,Butler's Sandparsley,Not Listed
56,Platycladus orientalis,Great Smoky Mountains National Park,25,Vascular Plant,Oriental White Cedar,Not Listed
57,Limnanthes alba ssp. versicolor,Yellowstone National Park,246,Vascular Plant,White Meadowfoam,Not Listed
58,Panicum rigidulum var. pubescens,Yosemite National Park,158,Vascular Plant,Long-Leaved Panic Grass,Not Listed
59,Salix humilis var. humilis,Great Smoky Mountains National Park,64,Vascular Plant,Prairie Willow,Not Listed
60,Hepatica nobilis,Yellowstone National Park,281,Vascular Plant,Hepatica,Not Listed
61,Eriogonum nudum var. deductum,Bryce National Park,88,Vascular Plant,Naked Buckwheat,Not Listed
62,Penstemon procerus,Great Smoky Mountains National Park,67,Vascular Plant,"Littleflower Penstemon, Pincushion Beardtongue",Not Listed
63,Ericameria suffruticosa,Yellowstone National Park,254,Vascular Plant,"Bighead Goldenbush, Singlehead Goldenbush, Single-Head Heath-Goldenrod",Not Listed
64,Chasmanthium latifolium,Yosemite National Park,152,Vascular Plant,"Broad-Leaved Spanglegrass, Indian Sea-Oats",Not Listed
65,Sparganium emersum ssp. emersum,Great Smoky Mountains National Park,80,Vascular Plant,Emersed Bur-Reed,Not Listed
66,Ribes rotundifolium,Yosemite National Park,147,Vascular Plant,"Appalachian Gooseberry, Round-Leaved Currant",Not Listed
67,Pachysandra procumbens,Yellowstone National Park,213,Vascular Plant,American Pachysandra,Not Listed
68,Helianthus annuus,Yellowstone National Park,265,Vascular Plant,Common Sunflower,Not Listed
69,Helianthus annuus,Yellowstone National Park,265,Vascular Plant,"Annual Sunflower, Common Sunflower, Sunflower, Wild Sunflower",Not Listed
70,Blarina brevicauda,Bryce National Park,77,Mammal,"Northern Short Tailed Shrew, Northern Short-Tailed Shrew",Not Listed
71,Polygonum viviparum,Great Smoky Mountains National Park,107,Vascular Plant,"Alpine Bistort, Serpent-Grass, Viviparous Bistort",Not Listed
72,Astragalus purshii var. purshii,Yosemite National Park,156,Vascular Plant,"Pursh's Milkvetch, Pursh's Milk-Vetch, Woollypod Milkvetch",Not Listed
73,Orthocarpus luteus,Great Smoky Mountains National Park,47,Vascular Plant,"Golden-Tongue Owl-Clover, Yellow Owlclover, Yellow Owl's-Clover",Not Listed
74,Liparis loeselii,Yosemite National Park,157,Vascular Plant,"Fen Orchid, Fen Orchis",Not Listed
75,Cornus canadensis,Bryce National Park,89,Vascular Plant,"Bunchberry Dogwood, Canadian Bunchberry",Not Listed
76,Arctostaphylos uva-ursi,Yosemite National Park,154,Vascular Plant,"Bearberry, Bearberry Manzanita, Kinnikinnick, Mealberry",Not Listed
77,Isatis tinctoria,Yosemite National Park,127,Vascular Plant,Dyer's Woad,Not Listed
78,Eschscholzia hypecoides,Bryce National Park,106,Vascular Plant,San Benito Poppy,Not Listed
79,Tofieldia glabra,Great Smoky Mountains National Park,75,Vascular Plant,"Smooth Bog-Asphodel, Smooth Tofieldia",Species Of Concern
80,Odocoileus virginianus,Great Smoky Mountains National Park,36,Mammal,White-Tailed Deer,Not Listed
81,Odocoileus virginianus,Great Smoky Mountains National Park,36,Mammal,"White-Tailed Deer, White-Tailed Deer",Not Listed
82,Galium pilosum var. puncticulosum,Bryce National Park,137,Vascular Plant,Hairy Bedstraw,Not Listed
83,Physaria didymocarpa var. didymocarpa,Yellowstone National Park,244,Vascular Plant,Common Twinpod,Not Listed
84,Thamnophis sirtalis sirtalis,Great Smoky Mountains National Park,63,Reptile,Common Garter Snake,Not Listed
85,Krigia montana,Yellowstone National Park,214,Vascular Plant,"False Dandelion, Mountain Krigia",Not Listed
86,Puma concolor,Bryce National Park,92,Mammal,Panther (Mountain Lion),Not Listed
87,Puma concolor,Bryce National Park,92,Mammal,"Cougar, Mountain Lion, Puma",Not Listed
88,Puma concolor,Bryce National Park,92,Mammal,Mountain Lion,Not Listed
89,Sphaeralcea coccinea,Bryce National Park,108,Vascular Plant,"Copper Mallow, Orange Globemallow, Red Falsemallow, Scarlet Globemallow",Not Listed
90,Hypentelium nigricans,Great Smoky Mountains National Park,54,Fish,Northern Hog Sucker,Not Listed
91,Cryptantha affinis,Bryce National Park,105,Vascular Plant,"Common Cryptantha, Quill Cryptantha",Not Listed
92,Pellaea atropurpurea,Bryce National Park,115,Vascular Plant,"Purple Cliff-Brake, Purple-Stem Cliff-Brake",Not Listed
93,Platanus occidentalis,Great Smoky Mountains National Park,98,Vascular Plant,Sycamore,Not Listed
94,Plantago rugelii,Yellowstone National Park,223,Vascular Plant,"Black-Seed Plantain, White Man's Footprint",Not Listed
95,Lewisia nevadensis,Bryce National Park,82,Vascular Plant,"Nevada Bitterroot, Nevada Bitter-Root, Nevada Lewisia",Not Listed
96,Arenaria congesta var. subcongesta,Great Smoky Mountains National Park,90,Vascular Plant,"Ballhead Sandwort, Loosehead Sandwort",Not Listed
97,Calystegia sepium,Yellowstone National Park,218,Vascular Plant,Hedge Bindweed,Not Listed
98,Carex backii,Great Smoky Mountains National Park,58,Vascular Plant,"Back's Sedge, Rocky Mountain Sedge",Not Listed
99,Betula nigra,Bryce National Park,106,Vascular Plant,River Birch,Not Listed
100,Quercus,Bryce National Park,59,Vascular Plant,Oak,Not Listed
101,Spiraea prunifolia,Great Smoky Mountains National Park,48,Vascular Plant,"Bridal-Wreath, Spiraea",Not Listed
102,Andropogon glomeratus,Bryce National Park,65,Vascular Plant,"Bushy Bluestem, Marsh Broomsedge",Not Listed
103,Didymodon fallax var. reflexus,Yellowstone National Park,208,Nonvascular Plant,Didymodon Moss,Not Listed
104,Rhynchospora alba,Bryce National Park,88,Vascular Plant,White Beaksedge,Not Listed
105,Accipiter cooperii,Bryce National Park,95,Bird,Cooper's Hawk,Species Of Concern
106,Eurycea longicauda longicauda,Yosemite National Park,147,Amphibian,Longtail Salamander,Not Listed
107,Scleria oligantha,Great Smoky Mountains National Park,70,Vascular Plant,"Little-Headed Nutrush, Nut-Rush",Not Listed
108,Orthotrichum stellatum,Great Smoky Mountains National Park,71,Nonvascular Plant,Stellate Orthotrichum Moss,Not Listed
109,Rhododendron maximum,Bryce National Park,100,Vascular Plant,"Great Laurel, Rosebay Rhododendron",Not Listed
110,Morus alba,Great Smoky Mountains National Park,49,Vascular Plant,White Mulberry,Not Listed
111,Sambucus racemosa var. racemosa,Great Smoky Mountains National Park,77,Vascular Plant,"Bunchberry Elder, Red Elderberry",Not Listed
112,Nemacladus interior,Bryce National Park,100,Vascular Plant,Sierra Threadplant,Not Listed
113,Sphagnum subsecundum,Great Smoky Mountains National Park,73,Nonvascular Plant,Sphagnum,Not Listed
114,Euphagus cyanocephalus,Bryce National Park,79,Bird,Brewer's Blackbird,Not Listed
115,Eleocharis quinqueflora,Bryce National Park,106,Vascular Plant,"Fewflower Spikerush, Few-Flower Spikerush, Few-Flower Spike-Rush, Fewflowered Spikesedge",Not Listed
116,Crotalaria sagittalis,Bryce National Park,56,Vascular Plant,Arrowhead Rattlebox,Not Listed
117,Erechtites hieracifolia,Yosemite National Park,134,Vascular Plant,Burnweed,Not Listed
118,Scrophularia marilandica,Bryce National Park,89,Vascular Plant,"Carpenter's Square Figwort, Figwort",Not Listed
119,Viola blanda var. blanda,Great Smoky Mountains National Park,108,Vascular Plant,Sweet White Violet,Not Listed
120,Hordeum murinum ssp. murinum,Yosemite National Park,115,Vascular Plant,Wall Barley,Not Listed
121,Calcarius lapponicus,Bryce National Park,91,Bird,Lapland Longspur,Not Listed
122,Agrostis mertensii,Yosemite National Park,135,Vascular Plant,Northern Agrostis,Not Listed
123,Agrostis mertensii,Yosemite National Park,135,Vascular Plant,"Arctic Bentgrass, Northern Bentgrass",Not Listed
124,Seiurus aurocapilla,Bryce National Park,86,Bird,Ovenbird,Not Listed
125,Chelone lyonii,Yellowstone National Park,244,Vascular Plant,Pink Turtlehead,Not Listed
126,Viburnum edule,Yosemite National Park,136,Vascular Plant,Squashberry,Not Listed
127,Platanthera obtusata,Great Smoky Mountains National Park,116,Vascular Plant,"Bluntleaved Orchid, Northern Small Bog Orchid",Not Listed
128,Pseudacris maculata,Bryce National Park,109,Amphibian,Boreal Chorus Frog,Not Listed
129,Chasmanthium sessiliflorum,Yellowstone National Park,257,Vascular Plant,"Longleaf Spikegrass, Longleaf Woodoats",Not Listed
130,Dichanthelium acuminatum var. acuminatum,Yosemite National Park,123,Vascular Plant,Tapered Rosette Grass,Species Of Concern
131,Osmorhiza berteroi,Yellowstone National Park,263,Vascular Plant,"Mountain Sweetroot, Sweet Cicely, Sweetcicely",Not Listed
132,Hackelia nervosa,Yosemite National Park,168,Vascular Plant,"Sierra Stickseed, Sierran Stickseed",Not Listed
133,Poa sylvestris,Bryce National Park,118,Vascular Plant,Woodland Bluegrass,Not Listed
134,Amorpha fruticosa,Yellowstone National Park,258,Vascular Plant,"False Indigo, False Indigo-Bush",Not Listed
135,Anthemis cotula,Yellowstone National Park,252,Vascular Plant,"Mayweed, Stinking Chamomile",Not Listed
136,Anthemis cotula,Yellowstone National Park,252,Vascular Plant,"Chamomile, Dog Fennel, Dogfennel, Mayweed, Mayweed Chamomile, Mayweed Dogfennel, Stinking Chamomile, Stinkweed",Not Listed
137,Rumex obtusifolius,Great Smoky Mountains National Park,27,Vascular Plant,Bitter Dock,Not Listed
138,Clarkia rhomboidea,Great Smoky Mountains National Park,92,Vascular Plant,"Broadleaf Clarkia, Diamond Clarkia, Diamond Fairyfan",Not Listed
139,Berberis canadensis,Great Smoky Mountains National Park,74,Vascular Plant,American Barberry,Not Listed
140,Poa bolanderi,Yosemite National Park,135,Vascular Plant,Bolander's Bluegrass,Not Listed
141,Zonotrichia atricapilla,Bryce National Park,94,Bird,Golden-Crowned Sparrow,Not Listed
142,Pinus,Bryce National Park,94,Vascular Plant,Pine,Not Listed
143,Potentilla fruticosa,Bryce National Park,71,Vascular Plant,"Bush Cinquefoil, Golden Hardhack, Shrubby Cinquefoil, Widdy",Not Listed
144,Melanerpes erythrocephalus,Great Smoky Mountains National Park,84,Bird,Red-Headed Woodpecker,Not Listed
145,Digitaria violascens,Yosemite National Park,132,Vascular Plant,Violet Crabgrass,Not Listed
146,Hypochaeris radicata,Great Smoky Mountains National Park,57,Vascular Plant,"Cat's Ear, Spotted Cat's-Ear",Not Listed
147,Hypochaeris radicata,Great Smoky Mountains National Park,57,Vascular Plant,"Spotted Cats-Ear, Hairy Cats-Ear, Gosmore",Not Listed
148,Hypochaeris radicata,Great Smoky Mountains National Park,57,Vascular Plant,"Common Cat's-Ear, False Dandelion, Frogbit, Gosmore, Hairy Cat's Ear, Hairy Catsear, Spotted Catsear",Not Listed
149,Phacelia egena,Yellowstone National Park,282,Vascular Plant,"Kaweah River Phacelia, Kaweah River Scorpion-Weed",Not Listed
150,Atrichum oerstedianum,Great Smoky Mountains National Park,74,Nonvascular Plant,Oersted's Atrichum Moss,Not Listed
151,Pinus lambertiana,Bryce National Park,116,Vascular Plant,"California Sugar Pine, Sugar Pine",Not Listed
152,Thalictrum alpinum,Bryce National Park,110,Vascular Plant,"Alpine Meadowrue, Alpine Meadow-Rue",Not Listed
153,Jeffersonia diphylla,Yellowstone National Park,258,Vascular Plant,Twinleaf,Not Listed
154,Triosteum perfoliatum,Yellowstone National Park,257,Vascular Plant,Feverwort,Not Listed
155,Vaccinium parvifolium,Yellowstone National Park,253,Vascular Plant,Red Huckleberry,Not Listed
156,Sematophyllum demissum,Bryce National Park,109,Nonvascular Plant,Sematophyllum Moss,Not Listed
157,Phlox stolonifera,Yellowstone National Park,247,Vascular Plant,Creeping Phlox,Not Listed
158,Cryptantha muricata,Yellowstone National Park,267,Vascular Plant,"Pointed Catseye, Pointed Cryptantha, Prickly Cryptantha",Not Listed
159,Pseudoroegneria spicata,Yosemite National Park,156,Vascular Plant,"Bluebunch Wheatgrass, Bluebunch-Wheat Grass",Not Listed
160,Prosartes maculatum,Great Smoky Mountains National Park,105,Vascular Plant,Spotted Mandarin,Not Listed
161,Cuscuta compacta,Yosemite National Park,140,Vascular Plant,"Bracted Dodder, Sessile Dodder",Not Listed
162,Salix farriae,Bryce National Park,108,Vascular Plant,Farr's Willow,Not Listed
163,Coreopsis tripteris,Bryce National Park,86,Vascular Plant,Tall Tickseed,Not Listed
164,Vermivora celata,Yosemite National Park,106,Bird,Orange-Crowned Warbler,Not Listed
165,Malus angustifolia,Great Smoky Mountains National Park,71,Vascular Plant,"Narrowleaf Crabapple, Southern Crabapple",Not Listed
166,Cyanocitta stelleri,Yellowstone National Park,230,Bird,Steller's Jay,Not Listed
167,Platanthera dilatata var. dilatata,Yellowstone National Park,257,Vascular Plant,Scentbottle,Not Listed
168,Cheilanthes intertexta,Yosemite National Park,124,Vascular Plant,Coastal Lipfern,Not Listed
169,Carex lenticularis var. lipocarpa,Bryce National Park,112,Vascular Plant,"Kellogg Sedge, Kellogg's Sedge",Not Listed
170,Floerkea proserpinacoides,Yosemite National Park,131,Vascular Plant,"False Mermaidweed, False Mermaid-Weed",Not Listed
171,Juncus effusus var. solutus,Yosemite National Park,131,Vascular Plant,Lamp Rush,Not Listed
172,Thelypodium sagittatum,Yosemite National Park,164,Vascular Plant,"Arrow Thelypody, Slender Thelypody",Not Listed
173,Lychnis coronaria,Yellowstone National Park,260,Vascular Plant,Rose Campion,Not Listed
174,Carduelis tristis,Bryce National Park,110,Bird,American Goldfinch,Not Listed
175,Cicuta douglasii,Bryce National Park,119,Vascular Plant,"Douglas' Waterhemlock, Water Hemlock, Western Water Hemlock",Not Listed
176,Melanthium latifolium,Yosemite National Park,167,Vascular Plant,"Bunch-Flower, Hybrid Bunchflower",Not Listed
177,Lespedeza procumbens,Yellowstone National Park,233,Vascular Plant,"Low Bush-Clover, Trailing Bush-Clover",Not Listed
178,Juncus ensifolius var. montanus,Bryce National Park,83,Vascular Plant,Rocky Mountain Rush,Not Listed
179,Osmorhiza depauperata,Great Smoky Mountains National Park,67,Vascular Plant,"Blunt-Fruit Sweet-Cicely, Bluntseed Sweetroot",Not Listed
180,Cucumis melo,Bryce National Park,80,Vascular Plant,Canteloupe,Not Listed
181,Viola blanda var. blanda,Yellowstone National Park,245,Vascular Plant,Sweet White Violet,Not Listed
182,Oncorhynchus mykiss,Yosemite National Park,118,Fish,Rainbow Trout,Not Listed
183,Oncorhynchus mykiss,Yosemite National Park,118,Fish,Rainbow Trout,Threatened
184,Ajuga reptans,Great Smoky Mountains National Park,60,Vascular Plant,"Bugleweed, Carpet-Bugel",Not Listed
185,Ranunculus pusillus,Great Smoky Mountains National Park,82,Vascular Plant,"Aquatic Buttercup, Pursh Buttercup",Not Listed
186,Taraxacum ceratophorum,Yosemite National Park,151,Vascular Plant,"Common Dandelion, Woolbearing Dandelion",Not Listed
187,Oxytropis parryi,Great Smoky Mountains National Park,66,Vascular Plant,"Parry Pointvetch, Parry's Crazyweed, Parry's Oxytrope",Not Listed
188,Cynosurus echinatus,Bryce National Park,75,Vascular Plant,Bristly Dogstail Grass,Not Listed
189,Platanthera stricta,Bryce National Park,76,Vascular Plant,"Modoc Bog Orchid, Slender Bog Orchid",Not Listed
190,Dodecatheon subalpinum,Yellowstone National Park,206,Vascular Plant,Sierra Shootingstar,Not Listed
191,Rumex paucifolius,Great Smoky Mountains National Park,86,Vascular Plant,"Alpine Sheep Sorrel, Fewleaved Dock, Meadow Dock",Not Listed
192,Cyperus pseudovegetus,Bryce National Park,108,Vascular Plant,Marsh Flatsedge,Not Listed
193,Malus coronaria,Great Smoky Mountains National Park,75,Vascular Plant,Northern Crabapple,Not Listed
194,Nepeta cataria,Yosemite National Park,189,Vascular Plant,Catnip,Not Listed
195,Nepeta cataria,Yosemite National Park,189,Vascular Plant,"Catmint, Catnip, Catwort, Field Balm",Not Listed
196,Hieracium piloselloides,Bryce National Park,77,Vascular Plant,King Devil,Not Listed
197,Dichanthelium dichotomum var. dichotomum,Yellowstone National Park,242,Vascular Plant,Small Panic Grass,Not Listed
198,Bidens aristosa,Bryce National Park,111,Vascular Plant,Stick-Tight,Not Listed
199,Secale cereale,Great Smoky Mountains National Park,82,Vascular Plant,"Cultivated Rye, Rye",Not Listed
200,Secale cereale,Great Smoky Mountains National Park,82,Vascular Plant,"Cereal Rye, Common Rye, Cultivated Annual Rye, Cultivated Rye, Rye",Not Listed
201,Rugelia nudicaulis,Yosemite National Park,120,Vascular Plant,Rugel's Ragwort,Species Of Concern
202,Iva annua,Great Smoky Mountains National Park,70,Vascular Plant,Iva,Not Listed
203,Bromus suksdorfii,Yellowstone National Park,243,Vascular Plant,Suksdorf's Brome,Not Listed
204,Taenidia integerrima,Bryce National Park,114,Vascular Plant,"Yellow Pimpernel, Yellow Pimpernell",Not Listed
205,Symphyotrichum spathulatum,Bryce National Park,110,Vascular Plant,Western Mountain Aster,Not Listed
206,Heterotheca villosa var. villosa,Yellowstone National Park,276,Vascular Plant,"Hairy False Goldenaster, Hairy False Golden-Aster",Not Listed
207,Pica hudsonia,Yellowstone National Park,239,Bird,"Black-Billed Magpie, Magpie",Not Listed
208,Pica hudsonia,Yellowstone National Park,239,Bird,Black-Billed Magpie,Not Listed
209,Viburnum lentago,Great Smoky Mountains National Park,74,Vascular Plant,"Nannyberry, Nanny-Berry",Not Listed
210,Saxifraga subapetala,Yellowstone National Park,265,Vascular Plant,Yellowstone Saxifrage,Not Listed
211,Helianthella quinquenervis,Yellowstone National Park,237,Vascular Plant,"Fivenerve Helianthella, Nodding Dwarf-Sunflower, Nodding Helianthella",Not Listed
212,Pteridium aquilinum var. latiusculum,Great Smoky Mountains National Park,29,Vascular Plant,Bracken Fern,Not Listed
213,Sturnus vulgaris,Yellowstone National Park,233,Bird,European Starling,Not Listed
214,Sturnus vulgaris,Yellowstone National Park,233,Bird,"Common Starling, European Starling",Not Listed
215,Carex preslii,Great Smoky Mountains National Park,25,Vascular Plant,Presl's Sedge,Not Listed
216,Pellaea breweri,Great Smoky Mountains National Park,73,Vascular Plant,Brewer's Cliffbrake,Not Listed
217,Houstonia longifolia var. longifolia,Yellowstone National Park,254,Vascular Plant,Long-Leaved Bluets,Not Listed
218,Mustela erminea,Bryce National Park,118,Mammal,"Ermine, Short Tailed Weasel",Not Listed
219,Mustela erminea,Bryce National Park,118,Mammal,Ermine,Not Listed
220,Monotropa hypopithys,Yosemite National Park,154,Vascular Plant,"American Pinesap, Pine-Sap",Not Listed
221,Monotropa hypopithys,Yosemite National Park,154,Vascular Plant,Pinesap,Not Listed
222,Pandion haliaetus,Yosemite National Park,134,Bird,Osprey,Species Of Concern
223,Pandion haliaetus,Yosemite National Park,134,Bird,"Osprey, Western Osprey",Species Of Concern
224,Nandina domestica,Yellowstone National Park,220,Vascular Plant,"Heavenly Bamboo, Nandina",Not Listed
225,Aix sponsa,Yosemite National Park,152,Bird,Wood Duck,Not Listed
226,Iris missouriensis,Yosemite National Park,127,Vascular Plant,"Rocky Mountain Iris, Western Blue Flag, Wild Iris, Wildiris",Species Of Concern
227,Rigiopappus leptocladus,Yellowstone National Park,266,Vascular Plant,Wireweed,Not Listed
228,Trifolium aureum,Yellowstone National Park,263,Vascular Plant,Yellow Or Hop-Clover,Not Listed
229,Trifolium aureum,Yellowstone National Park,263,Vascular Plant,Golden Clover,Not Listed
230,Ericameria cuneata var. cuneata,Yosemite National Park,166,Vascular Plant,Cliff Goldenbush,Not Listed
231,Juncus marginatus,Great Smoky Mountains National Park,53,Vascular Plant,"Grassleaf Rush, Margined Rush",Not Listed
232,Carex jamesii,Great Smoky Mountains National Park,117,Vascular Plant,"James? Sedge, Nebraska Sedge",Not Listed
233,Carex gracillima,Yellowstone National Park,240,Vascular Plant,Graceful Sedge,Not Listed
234,Crotalus viridis viridis,Great Smoky Mountains National Park,55,Reptile,Prairie Rattlesnake,Not Listed
235,Penstemon procerus,Yellowstone National Park,215,Vascular Plant,"Littleflower Penstemon, Pincushion Beardtongue",Not Listed
236,Thaspium trifoliatum var. aureum,Yosemite National Park,125,Vascular Plant,"Purple Meadow-Parsnip, Yellow Meadow-Parsnip",Not Listed
237,Leucobryum glaucum,Bryce National Park,89,Nonvascular Plant,Leucobryum Moss,Not Listed
238,Empidonax difficilis,Yellowstone National Park,261,Bird,Pacific-Slope Flycatcher,Not Listed
239,Sonchus oleraceus,Bryce National Park,99,Vascular Plant,"Annual Sowthistle, Common Sowthistle, Common Sow-Thistle, Pualele, Sow Thistle, Sow-Thistle",Not Listed
240,Stizostedion vitreum,Great Smoky Mountains National Park,108,Fish,Walleye,Not Listed
241,Heterocladium macounii,Great Smoky Mountains National Park,110,Nonvascular Plant,Macoun's Heterocladium Moss,Not Listed
242,Saponaria officinalis,Great Smoky Mountains National Park,79,Vascular Plant,"Bouncing-Bet, Soapwort, Bouncing-Bet",Not Listed
243,Saponaria officinalis,Great Smoky Mountains National Park,79,Vascular Plant,"Bouncing Bet, Bouncingbet, Bouncingbet Soapweed, Soapwort, Sweet Betty",Not Listed
244,Stizostedion canadense,Bryce National Park,76,Fish,Sauger,Not Listed
245,Riparia riparia,Yellowstone National Park,199,Bird,Bank Swallow,Species Of Concern
246,Riparia riparia,Yellowstone National Park,199,Bird,"Bank Swallow, Sand Martin",Species Of Concern
247,Chasmanthium sessiliflorum,Great Smoky Mountains National Park,70,Vascular Plant,"Longleaf Spikegrass, Longleaf Woodoats",Not Listed
248,Setophaga dominica,Yosemite National Park,140,Bird,Yellow-Throated Warbler,Not Listed
249,Desmodium paniculatum var. paniculatum,Yellowstone National Park,206,Vascular Plant,Panicledleaf Ticktrefoil,Not Listed
250,Sayornis nigricans,Yosemite National Park,128,Bird,Black Phoebe,Not Listed
251,Logfia arvensis,Yosemite National Park,154,Vascular Plant,Field Cottonrose,Not Listed
